790363316: not in active state
790363360: not in active state
790363440, SCODE:102555TR, rc:0
790363445, SAPID:1111111111, rc:0
790363445, SCODE:102555TR, rc:0
790363448, SAPID:1111111111, rc:0
790363448, SCODE:102555TR, rc:0
790363490, SAPID:1111111111, rc:0
790363490, SCODE:102555TR, rc:0
790363508, SAPID:1111111111, rc:0
790363508, SCODE:102555TR, rc:0
790365544, SAPID:1111111111, rc:0
790365544, SCODE:102555TR, rc:0
790365549, SAPID:1111111111, rc:0
790365549, SCODE:102555TR, rc:0
790365562, SAPID:1111111111, rc:0
790365562, SCODE:102555TR, rc:0
790365567, SAPID:1111111111, rc:0
790365567, SCODE:102555TR, rc:0
790365577, SAPID:1111111111, rc:0
790365577, SCODE:102555TR, rc:0
790365589, SAPID:1111111111, rc:0
790365589, SCODE:102555TR, rc:0
790365625, SAPID:1111111111, rc:0
790365625, SCODE:102555TR, rc:0
790367622, SAPID:1111111111, rc:0
790367622, SCODE:102555TR, rc:0
790367635, SAPID:1111111111, rc:0
790367635, SCODE:102555TR, rc:0
790367641, SAPID:1111111111, rc:0
790367641, SCODE:102555TR, rc:0
790367649, SAPID:1111111111, rc:0
790367649, SCODE:102555TR, rc:0
790367651, SAPID:1111111111, rc:0
790367651, SCODE:102555TR, rc:0
790367655, SAPID:1111111111, rc:0
790367655, SCODE:102555TR, rc:0
790367664, SAPID:1111111111, rc:0
790367664, SCODE:102555TR, rc:0
790365605, SAPID:1111111111, rc:0
790365605, SCODE:102555TR, rc:0
790365629, SAPID:1111111111, rc:0
790365629, SCODE:102555TR, rc:0
790365631, SAPID:1111111111, rc:0
790365631, SCODE:102555TR, rc:0
790365642, SAPID:1111111111, rc:0
790365642, SCODE:102555TR, rc:0
790365648, SAPID:1111111111, rc:0
790365648, SCODE:102555TR, rc:0
790365664, SAPID:1111111111, rc:0
790365664, SCODE:102555TR, rc:0
790367577, SAPID:1111111111, rc:0
790367577, SCODE:102555TR, rc:0
790367602, SAPID:1111111111, rc:0
790367602, SCODE:102555TR, rc:0
790367605, SAPID:1111111111, rc:0
790367605, SCODE:102555TR, rc:0
790367620, SAPID:1111111111, rc:0
790367620, SCODE:102555TR, rc:0
790367626, SAPID:1111111111, rc:0
790367626, SCODE:102555TR, rc:0
790367639, SAPID:1111111111, rc:0
790367639, SCODE:102555TR, rc:0
790367640, SAPID:1111111111, rc:0
790367640, SCODE:102555TR, rc:0
790367653, SAPID:1111111111, rc:0
790367653, SCODE:102555TR, rc:0
790367660, SAPID:1111111111, rc:0
790367660, SCODE:102555TR, rc:0
790367682, SAPID:1111111111, rc:0
790367682, SCODE:102555TR, rc:0
790369713, SAPID:1111111111, rc:0
790369713, SCODE:102555TR, rc:0
790369726: not in active state
790369728, SAPID:1111111111, rc:0
790369728, SCODE:102555TR, rc:0
790369748, SAPID:1111111111, rc:0
790369748, SCODE:102555TR, rc:0
790369749, SAPID:1111111111, rc:0
790369749, SCODE:102555TR, rc:0
790369752, SAPID:1111111111, rc:0
790369752, SCODE:102555TR, rc:0
790369754, SAPID:1111111111, rc:0
790369754, SCODE:102555TR, rc:0
790369758, SAPID:1111111111, rc:0
790369758, SCODE:102555TR, rc:0
790369766, SAPID:1111111111, rc:0
790369766, SCODE:102555TR, rc:0
790369770, SAPID:1111111111, rc:0
790369770, SCODE:102555TR, rc:0
790369778, SAPID:1111111111, rc:0
790369778, SCODE:102555TR, rc:0
790369794, SAPID:1111111111, rc:0
790369794, SCODE:102555TR, rc:0
790369709, SAPID:1111111111, rc:0
790369709, SCODE:102555TR, rc:0
790369725, SAPID:1111111111, rc:0
790369725, SCODE:102555TR, rc:0
790369731, SAPID:1111111111, rc:0
790369731, SCODE:102555TR, rc:0
790369763, SAPID:1111111111, rc:0
790369763, SCODE:102555TR, rc:0
790369771, SAPID:1111111111, rc:0
790369771, SCODE:102555TR, rc:0
790369823, SAPID:1111111111, rc:0
790369823, SCODE:102555TR, rc:0
790363556, SAPID:1111111111, rc:0
790363556, SCODE:102555TR, rc:0
790363560, SAPID:1111111111, rc:0
790363560, SCODE:102555TR, rc:0
790363577, SAPID:1111111111, rc:0
790363577, SCODE:102555TR, rc:0
790363598, SAPID:1111111111, rc:0
790363598, SCODE:102555TR, rc:0
790363600, SAPID:1111111111, rc:0
790363600, SCODE:102555TR, rc:0
790363610, SAPID:1111111111, rc:0
790363610, SCODE:102555TR, rc:0
790363612, SAPID:1111111111, rc:0
790363612, SCODE:102555TR, rc:0
790363614, SAPID:1111111111, rc:0
790363614, SCODE:102555TR, rc:0
790363625, SAPID:1111111111, rc:0
790363625, SCODE:102555TR, rc:0
790363627, SAPID:1111111111, rc:0
790363627, SCODE:102555TR, rc:0
790363646, SAPID:1111111111, rc:0
790363646, SCODE:102555TR, rc:0
790363650, SAPID:1111111111, rc:0
790363650, SCODE:102555TR, rc:0
790363654, SAPID:1111111111, rc:0
790363654, SCODE:102555TR, rc:0
790363658, SAPID:1111111111, rc:0
790363658, SCODE:102555TR, rc:0
790363661, SAPID:1111111111, rc:0
790363661, SCODE:102555TR, rc:0
790363663, SAPID:1111111111, rc:0
790363663, SCODE:102555TR, rc:0
790365679, SAPID:1111111111, rc:0
790365679, SCODE:102555TR, rc:0
790365688, SAPID:1111111111, rc:0
790365688, SCODE:102555TR, rc:0
790365689, SAPID:1111111111, rc:0
790365689, SCODE:102555TR, rc:0
790365691, SAPID:1111111111, rc:0
790365691, SCODE:102555TR, rc:0
790365704, SAPID:1111111111, rc:0
790365704, SCODE:102555TR, rc:0
790365706, SAPID:1111111111, rc:0
790365706, SCODE:102555TR, rc:0
790365752, SAPID:1111111111, rc:0
790365752, SCODE:102555TR, rc:0
790365756, SAPID:1111111111, rc:0
790365756, SCODE:102555TR, rc:0
790363548, SAPID:1111111111, rc:0
790363548, SCODE:102555TR, rc:0
790363555, SAPID:1111111111, rc:0
790363555, SCODE:102555TR, rc:0
790363568, SAPID:1111111111, rc:0
790363568, SCODE:102555TR, rc:0
790363576, SAPID:1111111111, rc:0
790363576, SCODE:102555TR, rc:0
790363582, SAPID:1111111111, rc:0
790363582, SCODE:102555TR, rc:0
790363583, SAPID:1111111111, rc:0
790363583, SCODE:102555TR, rc:0
790363584, SAPID:1111111111, rc:0
790363584, SCODE:102555TR, rc:0
790363592, SAPID:1111111111, rc:0
790363592, SCODE:102555TR, rc:0
790363595, SAPID:1111111111, rc:0
790363595, SCODE:102555TR, rc:0
790363613, SAPID:1111111111, rc:0
790363613, SCODE:102555TR, rc:0
790363615, SAPID:1111111111, rc:0
